title,franchise_group,owner,current_platform,tmdb_id,tmdb_media_type,tmdb_popularity,tmdb_vote_count,tmdb_vote_average,tmdb_poster_path,tmdb_original_title,value_score_raw,value_score_norm
Murder in the First,Standalone,Warner Bros Discovery,Prime Video,8438,movie,3.3077,591,7.1,/sU37ONoL9qUyYXUhubJSYH9tEoc.jpg,Murder in the First,20.28002170672292,0.0026229136370190076
Godzilla,Standalone,Warner Bros Discovery,Netflix,929,movie,6.079,4089,5.645,/xJVl1I95StraYAwaNbBkVoWE2qA.jpg,Godzilla,20.98072330800734,0.0027135387759891845
Young Adam,Standalone,Warner Bros Discovery,Prime Video,237,movie,3.7005,185,5.811,/rU5GJ5r4tQbSx9C2ENKbPkD6nr9.jpg,Young Adam,17.592012944217917,0.002275260417433759
The Musketeer,Standalone,Warner Bros Discovery,Rent/Buy,11370,movie,2.6434,238,5.229,/oaKp6HZQDTtCOwn4JGi2Mh7Ep95.jpg,The Musketeer,15.479797900948137,0.002002077394189143
La Chinoise,Remake,Warner Bros Discovery,Rent/Buy,1629,movie,3.9077,227,6.9,/hfGzYErvwi8hB38kCsSNy6OjdPv.jpg,La Chinoise,20.065634847000457,0.0025951859439181015
Singles,Standalone,Warner Bros Discovery,Rent/Buy,11068,movie,4.2678,413,6.4,/4T7OKBdkNBorRKWw7VSeuA225z1.jpg,Singles,19.6848003411209,0.0025459307688810973
Friends,Standalone / Classic Sitcom,Warner Bros Discovery,Max,1668,tv,64.6416,8707,8.424,/f496cm9enuEsZkSPzCwnTESEK5s.jpg,Friends,85.42951842036905,0.011049014252014872
The Big Bang Theory,The Big Bang Theory Franchise,Warner Bros Discovery,Max,1418,tv,26.5673,12074,7.913,/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,The Big Bang Theory,46.47518713942355,0.006010861521444717
Game of Thrones,A Song of Ice and Fire / Westeros,Warner Bros Discovery,Max,1399,tv,93.8238,25873,8.46,/1XS1oqL89opfnbLl8WnZY1O1uJx.jpg,Game of Thrones,115.15666357381284,0.014893770216292918
Breaking Bad,The Sopranos Franchise,Warner Bros Discovery,Netflix,1396,tv,83.1388,16633,8.936,/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg,Breaking Bad,105.23179669714737,0.013610139012497198
Boardwalk Empire,Standalone,Warner Bros Discovery,Max,1621,tv,11.4889,1192,8.011,/kL6SqlVPpfAof2nQbh1VxkUuXBQ.jpg,Boardwalk Empire,30.587540443670342,0.003956035063117179
Supernatural,Supernatural,Warner Bros Discovery,Netflix,1622,tv,130.8798,8097,8.301,/u40gJarLPlIkwouKlzGdobQOV9k.jpg,Supernatural,151.3901777724324,0.019580026468039226
Mister Ed,Gilmore Girls,Warner Bros Discovery,Rent/Buy,453,tv,6.5768,48,6.8,/ykGlIpjTiyd4wYk617X73TL5FTS.jpg,Mister Ed,21.866996080028514,0.0028281647351459417
